Host:,pi00,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output 1W32B1R.log,,,,Date:,12 Jun 2015 18:30:52 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
96.517,0.498,2.985,0,0,0,5505024,0,92,543,0,0,1156,1016
91.899,0.759,7.342,0,0,0,4456448,0,0,0,0,0,1134,1079
95.75,0.5,3.75,0,0,0,4456448,0,0,0,0,0,1117,1007
95.729,0.251,4.02,0,0,0,5505024,0,144,909,0,0,1153,1066
95.5,1.5,3,0,0,0,5242880,32768,0,0,0,0,1190,1068
97.744,0,2.256,0,0,0,4980736,0,0,0,0,0,1165,1052
97.512,0.498,1.99,0,0,0,5767168,0,92,543,0,0,1157,1043
98.246,0.251,1.504,0,0,0,5505024,0,322,3218,0,0,1142,1000
94.458,0.756,4.786,0,0,0,4980736,0,0,0,0,0,1127,920
97.494,0.251,2.005,0,0,0.251,5505024,0,92,543,0,0,1166,1017
97.243,0.251,2.256,0,0,0.251,5242880,90112,0,0,0,0,1170,1006
96.25,0.75,3,0,0,0,4980736,0,0,0,0,0,1125,954
92.191,1.008,6.297,0.504,0,0,5505024,0,92,543,0,0,1120,975
34.848,0,65.152,0,0,0,524288,0,0,0,0,0,686,613
98.75,0,0.75,0.25,0,0.25,5242880,0,0,0,0,0,1137,1042
97.744,1.504,0.501,0,0,0.251,5242880,327680,92,543,0,0,1270,1179
96.985,0.503,2.513,0,0,0,6029312,0,46,0,0,0,1158,1048
97.506,0.748,1.746,0,0,0,4980736,0,322,3224,0,0,1111,979
99,0.25,0.75,0,0,0,4980736,0,144,909,0,0,1103,1011
98.992,0.252,0.756,0,0,0,5767168,0,46,0,0,0,1104,1016
97.007,0.748,1.995,0,0,0.249,5505024,0,0,0,0,0,1106,1021
98.504,0.249,1.247,0,0,0,5242880,24576,92,543,0,0,1108,1033
98.747,0.501,0.752,0,0,0,3424256,0,0,0,0,0,1083,940
96.509,0.249,3.242,0,0,0,0,0,0,0,0,0,1016,778
98.75,0.25,1,0,0,0,0,0,92,543,0,0,1007,744
98.005,0,1.995,0,0,0,0,0,0,0,0,0,999,707
99,0,1,0,0,0,0,0,0,0,0,0,1008,710
98.005,0.249,1.746,0,0,0,0,24576,414,3767,0,0,1032,795
98.747,0.501,0.752,0,0,0,0,0,0,0,0,0,1004,712
97.995,0.501,1.504,0,0,0,0,0,0,0,0,0,1005,715
97.75,0.75,1.5,0,0,0,0,0,92,543,0,0,1007,756
97.243,0.752,2.005,0,0,0,0,0,76,102,0,0,1002,707
97.264,1.244,1.493,0,0,0,786432,0,46,0,0,0,1026,825
90.955,3.266,2.764,2.261,0,0.754,28557312,98304,54796,30428,0,0,1712,1714
96.75,1.75,1,0.5,0,0,25174016,0,0,0,0,0,1302,1150
96.526,0.496,2.978,0,0,0,5242880,6119424,0,0,0,0,1193,973
96.212,0.505,3.03,0,0,0.253,4702208,8192,92,543,0,0,1123,1019
92.519,0.499,6.733,0,0,0.249,5242880,0,368,3079,0,0,1150,1083
95.25,0.25,4.25,0,0,0.25,4980736,221184,0,0,0,0,1114,954
93.451,0.504,6.045,0,0,0,5767168,0,138,543,0,0,1105,986
95.511,0.499,3.741,0,0,0.249,5242880,0,0,0,0,0,1102,955
92.714,0.754,6.281,0,0,0.251,5242880,0,0,0,0,0,1098,976
95.25,1.5,3,0,0,0.25,6029312,0,92,543,0,0,1127,941
94.987,0.251,4.511,0,0,0.251,4980736,0,52,156,0,0,1100,962
95.489,0.752,3.759,0,0,0,5505024,24576,0,0,0,0,1117,986
92.231,1.253,6.516,0,0,0,4980736,0,92,543,0,0,1093,999
96.01,0.249,3.741,0,0,0,5849088,0,0,0,0,0,1129,985
93.985,2.005,3.759,0,0,0.251,6053888,0,322,3079,0,0,1150,1045
96.742,0,3.258,0,0,0,4997120,0,144,909,0,0,1113,957
92.191,0.504,7.305,0,0,0,4718592,0,0,0,0,0,1120,1014
78.535,0.505,20.96,0,0,0,3407872,24576,0,0,0,0,1002,864
34.684,0,65.316,0,0,0,524288,0,92,543,0,0,685,639
97.5,0,2.5,0,0,0,4980736,0,0,0,0,0,1132,984
96.75,1.5,1.75,0,0,0,5767168,0,0,0,0,0,1153,981
96.474,1.259,2.267,0,0,0,6553600,0,92,543,0,0,1184,1010
96.734,0.503,2.764,0,0,0,5505024,32768,0,0,0,0,1159,1030
96.97,0.253,2.778,0,0,0,4718592,0,0,0,0,0,1104,918
96,0.25,3.75,0,0,0,4980736,0,460,3761,0,0,1117,996
91.98,1.504,6.516,0,0,0,5242880,0,0,0,0,0,1125,1002
96.734,0.754,2.513,0,0,0,4718592,0,46,0,0,0,1127,1008
98,1,0.75,0,0,0.25,5505024,32768,92,543,0,0,1169,1002
98.246,0.752,1.003,0,0,0,5505024,0,0,0,0,0,1157,1014
97.739,0.251,2.01,0,0,0,5242880,0,0,0,0,0,1169,1038
98.25,1,0.75,0,0,0,5767168,0,144,909,0,0,1186,991
98.747,0.501,0.752,0,0,0,5767168,0,0,0,0,0,1153,955
97.512,0.498,1.741,0.249,0,0,5505024,90112,0,0,0,0,1167,1001
98.492,0.754,0.754,0,0,0,4718592,49152,92,543,0,0,1134,1005
99.25,0,0.75,0,0,0,5980160,8192,322,3224,0,0,1162,1005
99.25,0,0.75,0,0,0,5242880,0,0,0,0,0,1093,924
97.236,0.754,2.01,0,0,0,5242880,0,92,543,0,0,1106,1003
97.739,1.005,1.256,0,0,0,5505024,196608,0,0,0,0,1260,1098
99,0,0.75,0,0,0.25,5767168,106496,0,0,0,0,1172,1074
96.491,1.003,2.506,0,0,0,5242880,0,92,543,0,0,1153,1092
98,0.5,1.25,0,0,0.25,5242880,0,0,0,0,0,1129,1040
99.248,0,0.501,0.251,0,0,5505024,0,0,0,0,0,1143,1044
97.756,0.998,0.998,0,0,0.249,2785280,0,92,543,0,0,1094,977
98.005,0,1.995,0,0,0,1310720,0,0,0,0,0,1068,904
98.5,0,1.25,0,0,0.25,0,24576,368,3224,0,0,1054,796
98.747,0,1.003,0,0,0.251,0,0,144,909,0,0,1031,765
97.022,0.496,2.481,0,0,0,0,0,0,0,0,0,1032,766
98.747,0.752,0.501,0,0,0,0,8192,46,0,0,0,1034,756
97.494,0.752,1.754,0,0,0,0,0,92,543,0,0,1024,773
96.766,0.746,2.488,0,0,0,0,0,0,0,0,0,1032,765
98.741,0.252,1.008,0,0,0,0,24576,0,0,0,0,1043,759
98.5,0.5,1,0,0,0,0,0,92,543,0,0,1035,780
94.763,2.244,1.995,0.499,0,0.499,13860864,98304,13786,7673,0,0,1507,1359
90.863,3.553,3.553,1.269,0,0.761,25862144,2695168,40866,22002,0,0,1756,1658
94.486,2.757,2.506,0,0,0.251,17694720,0,414,3622,0,0,1363,1304
97.25,0.25,2.25,0,0,0.25,7864320,0,0,0,0,0,1211,1135
93.199,0.756,6.045,0,0,0,4980736,229376,0,0,0,0,1147,1072
96.241,0.752,3.008,0,0,0,4980736,0,92,543,0,0,1132,1048
96.509,0,3.491,0,0,0,4980736,0,0,0,0,0,1157,1097
95.99,0.501,3.509,0,0,0,5242880,0,0,0,0,0,1164,1045
92.172,0.505,7.071,0.253,0,0,5767168,0,144,909,0,0,1187,1101
95.99,0.501,3.509,0,0,0,4194304,0,0,0,0,0,1157,991
93.216,0.754,5.528,0,0,0.503,5505024,24576,0,0,0,0,1170,1026
95.761,0.499,3.491,0,0,0.249,4980736,0,144,699,0,0,1151,983
95,1.5,3,0,0,0.5,5767168,0,368,3079,0,0,1185,1041
91.811,0.993,6.948,0,0,0.248,4718592,0,0,0,0,0,1138,1031
95.489,0.501,3.759,0,0,0.251,5054464,0,92,543,0,0,1162,1028
94.724,0.251,4.774,0,0,0.251,6348800,0,46,0,0,0,1168,1017
96.01,0.748,3.242,0,0,0,4980736,24576,0,0,0,0,1139,1033
26.142,0,73.858,0,0,0,524288,0,92,543,0,0,656,592
96.734,0.251,2.764,0,0,0.251,4718592,0,0,0,0,0,1112,1005
96.259,1.247,2.494,0,0,0,5505024,0,0,0,0,0,1141,1052
97.995,0.501,1.504,0,0,0,5505024,0,92,543,0,0,1130,1012
94.458,1.008,4.282,0,0,0.252,6291456,0,0,0,0,0,1144,1078
97.494,0.251,2.256,0,0,0,5242880,32768,322,3128,0,0,1140,1062
97.733,0,2.267,0,0,0,4456448,0,144,909,0,0,1121,1000
95.761,0.249,3.99,0,0,0,5242880,0,0,0,0,0,1128,1002
92,0.75,7.25,0,0,0,4980736,0,0,0,0,0,1133,1034
96.25,0.25,3.5,0,0,0,4980736,0,92,543,0,0,1110,1017
58.586,0.505,40.404,0.253,0,0.253,3407872,0,0,0,0,0,897,789
41.31,0.756,57.935,0,0,0,0,32768,0,0,0,0,719,599
98.75,0.5,0.75,0,0,0,5505024,0,92,543,0,0,1151,1048
98.5,0.75,0.75,0,0,0,4980736,0,0,0,0,0,1134,1038
96.977,1.008,2.015,0,0,0,5505024,450560,0,0,0,0,1184,1052
98.01,0.498,1.244,0,0,0.249,5505024,0,460,3767,0,0,1159,1050
98.496,0.501,0.752,0,0,0.251,5505024,0,0,0,0,0,1138,1024
96.526,1.241,2.233,0,0,0,5505024,73728,0,0,0,0,1169,1078
98.496,0,1.504,0,0,0,5767168,0,138,543,0,0,1139,1056
97.99,0.754,1.005,0,0,0.251,4980736,3194880,0,0,0,0,1219,1113
98.254,0.748,0.998,0,0,0,4980736,0,0,0,0,0,1148,1020
97.506,0.249,2.244,0,0,0,5767168,0,144,909,0,0,1179,1084
98.25,0.75,1,0,0,0,5242880,90112,0,0,0,0,1166,1073
93.484,1.504,4.762,0,0,0.251,6553600,0,0,0,0,0,1170,1087
98.254,0.249,1.247,0,0,0.249,5242880,0,92,543,0,0,1156,1093
97.264,0.746,1.99,0,0,0,5767168,0,322,3224,0,0,1176,1098
98.997,0.251,0.752,0,0,0,4194304,0,0,0,0,0,1126,1053
98.005,0.748,1.247,0,0,0,1851392,24576,92,543,0,0,1100,983
97.007,0.249,2.743,0,0,0,786432,0,0,0,0,0,1044,876
98.507,0.249,1.244,0,0,0,0,0,0,0,0,0,1029,753
98.492,0.503,1.005,0,0,0,0,0,92,543,0,0,1035,775
97.99,0.251,1.759,0,0,0,0,0,0,0,0,0,1030,763
98.504,0.499,0.998,0,0,0,0,24576,0,0,0,0,1052,783
96.992,1.253,1.754,0,0,0,0,0,92,543,0,0,1033,772
97.733,0.756,1.511,0,0,0,0,0,0,0,0,0,1024,744
97.744,0.501,1.754,0,0,0,0,0,368,3224,0,0,1045,785
97.5,1,1.5,0,0,0,0,0,144,909,0,0,1039,783
92.02,4.239,3.242,0.249,0,0.249,13795328,24576,27409,15008,0,0,1518,1400
93.233,2.757,2.757,0,0,1.253,27230208,0,15888,11469,0,0,1749,1559
93.985,2.757,2.005,0.501,0,0.752,13631488,6111232,11652,3744,0,0,1428,1218
97.243,1.003,1.504,0,0,0.251,4456448,0,78,0,0,0,1120,999
95.739,0.251,4.01,0,0,0,6815744,0,0,0,0,0,1201,1089
94.015,0.499,5.237,0.249,0,0,5472256,245760,92,543,0,0,1173,1035
95.226,1.256,3.266,0,0,0.251,5505024,0,0,0,0,0,1141,998
96.465,0.505,3.03,0,0,0,4980736,0,0,0,0,0,1130,1012
94.962,1.259,3.778,0,0,0,5505024,0,415,3623,0,0,1173,1102
92.537,0.746,6.716,0,0,0,7077888,0,0,0,0,0,1156,1050
96.734,0,3.266,0,0,0,4456448,24576,0,0,0,0,1124,979
96.03,0.248,3.722,0,0,0,5505024,0,92,543,0,0,1088,980
95.477,1.005,3.266,0,0,0.251,6291456,0,52,156,0,0,1122,1022
92.982,0.251,6.767,0,0,0,5062656,0,0,0,0,0,1096,994
94.75,0,5.25,0,0,0,6594560,0,144,909,0,0,1140,1033
96.231,0.503,3.266,0,0,0,5242880,24576,0,0,0,0,1113,988
96.75,0,3,0,0,0.25,4718592,0,0,0,0,0,1096,949
92.519,0.499,6.983,0,0,0,4718592,0,92,543,0,0,1099,963
96.491,0.752,2.757,0,0,0,5505024,0,369,3080,0,0,1144,1042
95.238,0.752,3.509,0,0,0.501,4980736,0,0,0,0,0,1112,1018
95.25,0.5,4,0,0,0.25,5505024,24576,92,543,0,0,1135,1040
91.206,1.005,7.789,0,0,0,4980736,0,46,0,0,0,1112,957
72.796,1.008,25.693,0,0,0.504,3670016,0,0,0,0,0,974,830
38.945,0,61.055,0,0,0,524288,0,92,543,0,0,733,664
98.254,0.748,0.998,0,0,0,5242880,0,0,0,0,0,1138,967
96.758,0.499,2.743,0,0,0,4980736,32768,0,0,0,0,1156,993
96.25,0.5,2.75,0.25,0,0.25,5242880,0,92,543,0,0,1146,1023
97.5,0.25,2.25,0,0,0,4718592,0,0,0,0,0,1145,1000
97.007,0.249,2.743,0,0,0,5505024,0,323,3225,0,0,1167,1014
98.75,0.5,0.75,0,0,0,5767168,0,144,909,0,0,1179,1041
97.739,0.251,2.01,0,0,0,4980736,32768,0,0,0,0,1161,1000
98.254,0.499,1.247,0,0,0,6029312,0,0,0,0,0,1177,1004
98.504,0.249,0.998,0,0,0.249,5505024,57344,92,543,0,0,1163,986
96.25,1.75,1.75,0.25,0,0,5505024,0,0,0,0,0,1157,989
98.753,0,1.247,0,0,0,4718592,0,0,0,0,0,1154,967
98.997,0.251,0.501,0,0,0.251,5505024,40960,92,543,0,0,1180,1012
97.744,0.501,1.504,0,0,0.251,5767168,0,0,0,0,0,1176,985
98.015,0.248,1.737,0,0,0,5242880,262144,0,0,0,0,1312,1071
98.496,0.752,0.752,0,0,0,5505024,0,461,3768,0,0,1160,1035
98.75,0.5,0.5,0.25,0,0,5505024,0,0,0,0,0,1134,985
97.733,0.756,1.511,0,0,0,5242880,57344,0,0,0,0,1183,1011
98.25,0.25,1.5,0,0,0,4980736,0,138,543,0,0,1143,994
98.75,0.5,0.75,0,0,0,4194304,0,0,0,0,0,1105,926
97.506,0,2.494,0,0,0,2228224,0,0,0,0,0,1076,869
98.997,0.251,0.752,0,0,0,0,0,144,909,0,0,1051,812
98.75,0.5,0.75,0,0,0,0,24576,0,0,0,0,1062,797
97.519,0.993,1.489,0,0,0,0,0,0,0,0,0,1036,758
97.494,0.752,1.754,0,0,0,172032,0,92,543,0,0,1076,928
97.761,0.995,1.244,0,0,0,0,0,323,3225,0,0,1028,753
98.496,0.752,0.752,0,0,0,0,0,0,0,0,0,1022,746
96.25,0.5,3,0,0,0.25,0,24576,92,543,0,0,1059,830
