Sun Jun 14 03:46:30 PDT 2015,sun.util.calendar.ZoneInfo[id="America/Los_Angeles",offset=-28800000,dstSavings=3600000,useDaylight=true,transitions=185,lastRule=java.util.SimpleTimeZone[id=America/Los_Angeles,offset=-28800000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]]
Score,Message Content
0.0,"""アイドルになりたい？  まず受けてみないと。オーディション  →募集HP http://t.co/FmL8H6WqKZ →会社HP http://t.co/qvix5vEFgo #アイドル #地下アイドル #拡散希望 #福岡 #オーディション"""
0.0,"""RT @kasiwa_sippu: http://t.co/heCV1aVB12"""
37.18999589273983,"""going home naooooooo"""
0.0,"""クソガキの相手マジで疲れる"""
126.51460069893733,"""You might have a sneaking suspicion today that you've been sho... More for Scorpio http://t.co/2jg1VCbyHy"""
134.86690513453206,"""You may appear highly energetic and overly enthusiastic today,... More for Leo http://t.co/WapxHFkt5Y"""
0.38125642686463335,"""RT @coeurparasite: hey @jeromejarre je serais certainement à NY à partir du 26, j’espère te voir, j'ai un cadeau d'anniversaire à t'offrir …"""
0.0,"""Forse di meno  Geografia, Scienze e  Geometria https://t.co/QSMb4tEnda"""
64.96225324350182,"""A creative babe is so much more than any other babe x https://t.co/g4OGH4RugD"""
73.99395980634029,"""RT @NiggaImCeno: I fuck with Pomona"""
68.97690012152242,"""RT @PKDHOfficial: Just 4 days more for #3YearsOfPKDH A very special show for all of us..Amazing edit by @cute_bhavya5 n Taani❤️ http://t.co…"""
0.0,"""RT @AlmiraAzam: جس طرح پنجاب حکومت نے ہر چیز کا حل میٹرو میں ڈھونڈ لیا ہے بلاول نے فر وائی فائی میں ہر  چیز کا حل ڈھونڈ لیا 😅 #SindhGovFlops"""
0.0,"""RT @exovote_bot: 🌟이번주 멜론 주간인기상 1위를 하려면 투표 차이가 5만표이상 나야 한다고 합니다 현재(오후7시9분) 2위와 약 3만 3천표 정도 차이 납니다 또한 현재 투표 총공 진행 중이니 꼭 참여 부탁드립니다 #EXO http:/…"""
0.0,"""مطلوب رسام معماري Saudi Arabia - الرياض http://t.co/hQzTjfSkLR"""
0.0,"""RT @aimanazlan90: Kasar tidak bermakna benar."""
0.0,"""https://t.co/gKtrzyY6ko ふくしみんなへ #ともん"""
34.15105837215705,"""Seafood Salad with California Avocado ☝#losangeles #southbay #oldetorrance #foodporn #eatla @ La… https://t.co/Cc02WHsy8H"""
0.0,"""To tomando café"""
99.90848926610072,"""RT @dongbangdata: The concert's over. The lights are on. But no one is leaving. Everyone is chanting "TVXQ" #T1STORYEncore"""

4.635273493678998,""""Lorsqu'on a comprit la valeur de la vérité, on ne peut plus mentir."⛔️"""
0.48514814894911057,"""RT @atazia_: Demain je vais faire de la cuisine moléculaire vraiment m o r t e l"""
0.9189104328905271,"""RT @bodyagainstbody: qd j'ai pas envie d'te parler jte le fais clairement comprendre"""
0.0,"""ドンってやるのやめい！"""
1.0037578971408343,"""@Semanaldigital @benjalh1971 PORQUE PACTAR CON EL SOE DEL SUR, ES PACTAR CORRUPCIÓN PUTREFACTA Y POR LOS CUATRO COSTADOS?. Y DE IMPUTADOS???"""
2.509394742852086,"""RT @Moda__Chicas: Me encantan los leggings. <3 http://t.co/2E50yEuME5"""
1.5202741309833114,"""@ACMacalintal_ miss u po"""
73.90701222906685,"""RT @namelessrags: RT THIS AND YOU'LL RECEIVE A GOOD NEWS IN 10 MINS http://t.co/HsDUaPUuk4"""
