Host:,pi00,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output str_1W32B1R.log,,,,Date:,13 Jun 2015 02:55:05 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
21.266,1.519,76.962,0,0,0.253,0,0,75001,9551,0,0,1150,1124
18.09,1.256,80.151,0,0,0.503,0,0,70062,7856,0,0,1103,1122
21.429,0.985,77.34,0,0,0.246,0,0,75641,6945,0,0,1136,1089
34.615,2.821,62.051,0,0,0.513,0,90112,115263,430239,0,0,2069,2001
17.079,1.485,80.941,0,0,0.495,0,0,59323,7622,0,0,1070,1137
13.4,1.489,84.367,0,0,0.744,0,0,47104,5800,0,0,985,1025
21.027,1.467,76.528,0,0,0.978,0,0,76194,7410,0,0,1124,1087
25.063,1.754,72.431,0,0,0.752,0,0,93866,7750,0,0,1181,1108
38.958,1.985,57.32,0.496,0,1.241,0,466944,125022,416869,0,0,2187,2088
25,1.238,72.525,0,0,1.238,0,0,94597,9126,0,0,1237,1151
19.951,0.985,78.325,0,0,0.739,0,0,69290,9060,0,0,1088,1119
19.902,1.72,77.396,0,0,0.983,0,0,72346,7725,0,0,1128,1084
14.778,1.724,83.251,0,0,0.246,0,0,50619,5875,0,0,1031,1057
36.364,2.778,59.848,0.253,0,0.758,0,73728,119713,429888,0,0,2110,1970
15,1.75,83.25,0,0,0,0,0,58315,7023,0,0,1067,1113
24.752,1.238,74.01,0,0,0,0,0,86703,9100,0,0,1222,1110
27.34,0.739,70.936,0,0,0.985,0,0,97171,8428,0,0,1230,1110
13.614,1.98,84.158,0,0,0.248,0,0,50256,7257,0,0,1013,1018
39.851,3.96,54.455,0,0,1.733,0,32768,130928,443594,0,0,2028,1844
18.564,1.98,79.208,0,0,0.248,0,0,70209,7370,0,0,1122,1101
19.451,2.244,78.055,0,0,0.249,0,0,68414,8773,0,0,1133,1056
16.04,1.754,81.955,0,0,0.251,0,0,64961,8502,0,0,1121,1116
18,2,79.5,0,0,0.5,0,0,71255,7856,0,0,1102,1135
38.155,3.99,56.858,0,0,0.998,0,32768,121637,420748,0,0,2008,1921
21.5,1.25,77.25,0,0,0,0,0,78003,8893,0,0,1155,1153
18,2,80,0,0,0,0,0,60316,6711,0,0,1050,1103
12.091,1.259,86.65,0,0,0,0,0,48007,5566,0,0,974,997
17.822,1.98,80.198,0,0,0,0,0,63239,7176,0,0,1109,1105
37.838,2.703,58.722,0,0,0.737,0,32768,129487,391590,0,0,1962,1892
14.888,0.248,84.615,0,0,0.248,0,0,48674,6633,0,0,994,1043
18.844,1.508,79.397,0,0,0.251,0,0,67728,8458,0,0,1104,1108
24.19,1.995,73.067,0,0,0.748,0,0,93508,7647,0,0,1147,1103
20.494,1.235,78.272,0,0,0,0,0,71900,9469,0,0,1105,1130
34.559,2.696,61.765,0.245,0,0.735,0,32768,109811,449621,0,0,2102,2050
15.686,1.471,82.353,0,0,0.49,0,0,55380,7491,0,0,1036,1045
18.069,1.485,79.95,0,0,0.495,0,0,65799,6243,0,0,1067,1063
18.564,1.238,79.455,0,0,0.743,0,0,64487,7956,0,0,1017,1051
19.608,1.225,78.676,0,0,0.49,0,0,69605,7934,0,0,1042,1030
32.828,2.273,63.889,0,0,1.01,0,180224,115263,378578,0,0,1901,1865
17.734,0.985,81.034,0,0,0.246,0,0,58200,9257,0,0,1061,1116
16.953,1.229,81.572,0,0,0.246,0,0,54859,7759,0,0,1009,1062
29.064,1.478,68.966,0,0,0.493,0,0,115279,7959,0,0,1227,1078
29.703,1.238,68.317,0,0,0.743,0,0,93947,11026,0,0,1287,1230
35.264,5.542,57.935,0,0,1.259,0,425984,131126,499239,0,0,2166,1945
20.146,0.728,78.883,0,0,0.243,0,0,66189,6711,0,0,1066,1058
