Host:,dell01,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output str_1W32B1R.log,,,,Date:,13 Jun 2015 02:55:05 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
2.551,1.531,94.388,1.531,0,0,0,69632,6520,3188,0,0,856,1370
3.046,1.015,95.939,0,0,0,0,0,5332,2900,0,0,862,1191
30.256,0.513,68.718,0,0,0.513,0,0,4696,2407,0,0,1411,2467
12.935,1.493,85.075,0,0,0.498,0,0,442078,94770,0,0,1312,2034
3.5,1,95,0,0,0.5,0,0,4679,2679,0,0,847,1178
3.061,1.02,94.388,1.531,0,0,0,98304,6199,3434,0,0,1054,1504
10.606,0.505,88.889,0,0,0,0,0,4278,2934,0,0,852,1128
17.588,2.01,80.402,0,0,0,0,0,5206,2775,0,0,1490,2335
9.184,1.02,89.796,0,0,0,0,0,402735,75189,0,0,962,1725
4,1.5,94.5,0,0,0,0,0,4339,2493,0,0,839,1273
3.046,1.523,93.401,1.523,0,0.508,0,126976,5287,2569,0,0,978,1453
4,1.5,94.5,0,0,0,0,0,4866,2859,0,0,927,1216
13.706,3.046,83.249,0,0,0,0,0,3999,2175,0,0,1604,2406
5.051,1.515,93.434,0,0,0,0,0,377522,72719,0,0,912,1405
3.553,1.015,95.431,0,0,0,0,0,4526,2285,0,0,830,1233
4,1,93.5,1.5,0,0,0,176128,5672,3176,0,0,875,1127
5.5,1.5,93,0,0,0,0,0,3999,2175,0,0,867,1173
23.469,3.571,71.939,1.02,0,0,8192,0,4526,2285,8192,0,1521,14849
6.5,2.5,90.5,0,0,0.5,0,0,421193,161451,0,0,1226,1965
1.538,1.538,96.41,0,0,0.513,0,0,5001,41197,0,0,873,5564
7.692,1.538,88.718,2.051,0,0,0,1318912,9312,43103,0,0,1124,6129
3.535,2.525,93.939,0,0,0,0,0,6398,46176,0,0,984,10940
17.766,4.061,77.665,0,0,0.508,0,0,5422,45415,0,0,1530,2451
11.224,2.551,85.714,0,0,0.51,0,0,437590,137928,0,0,1269,6868
2.525,2.02,95.455,0,0,0,0,0,5262,2970,0,0,898,6037
2.02,2.02,93.939,2.02,0,0,0,135168,6173,88643,0,0,848,1180
2.051,0.513,97.436,0,0,0,0,0,6925,41978,0,0,847,1193
15.736,2.538,81.726,0,0,0,0,0,6398,46340,0,0,1663,2376
6.122,2.041,91.327,0,0,0.51,0,0,460296,88118,0,0,1230,2011
3.046,0.508,96.447,0,0,0,0,0,6391,13490,0,0,813,1193
3.553,1.015,93.909,1.523,0,0,0,94208,5117,2463,0,0,890,1397
2.551,0.51,96.939,0,0,0,0,0,5332,3006,0,0,845,1119
13.198,2.538,84.264,0,0,0,0,0,4590,2285,0,0,1626,2318
6.122,2.551,91.327,0,0,0,0,0,427444,87188,0,0,1088,1896
3.061,0,96.429,0,0,0.51,0,0,5332,2900,0,0,760,1159
1.531,1.02,95.918,1.531,0,0,0,98304,3193,1560,0,0,741,1081
2.564,0,97.436,0,0,0,0,0,3999,2175,0,0,694,1133
16.837,2.041,81.122,0,0,0,0,0,5689,3076,0,0,1600,2601
6.633,0.51,92.347,0,0,0.51,0,0,413665,79212,0,0,991,1596
4.082,1.531,94.388,0,0,0,0,0,5332,3006,0,0,983,1402
2.538,1.015,96.447,0,0,0,0,4096,5117,2569,0,0,785,1232
2.02,1.01,94.949,2.02,0,0,0,94208,4526,2285,0,0,713,1109
16.08,2.513,81.407,0,0,0,0,0,2666,1450,0,0,1675,2619
6.566,1.515,91.414,0,0,0.505,0,0,428418,87409,0,0,1167,1737
2.062,0,97.938,0,0,0,0,0,4526,2285,0,0,866,1111
4.523,1.508,93.467,0,0,0.503,0,69632,5332,3006,0,0,894,1119
3.518,1.005,93.97,1.508,0,0,0,81920,5204,3118,0,0,835,1163
16.244,2.03,81.218,0,0,0.508,0,0,3263,1560,0,0,1463,2299
5.556,1.515,92.929,0,0,0,0,0,438299,76990,0,0,1087,1867
4.545,1.01,93.939,0,0,0.505,0,0,4544,2866,0,0,821,1221
6.599,0.508,92.386,0,0,0.508,0,0,5644,2573,0,0,956,1212
2.01,2.01,94.472,1.508,0,0,0,98304,3999,2239,0,0,814,1169
15.306,1.531,82.653,0,0,0.51,0,0,4590,2447,0,0,1627,2352
5.584,1.015,93.401,0,0,0,0,0,419230,74966,0,0,1123,1715
2,1.5,96,0,0,0.5,0,0,3999,2175,0,0,893,1156
3.061,0.51,96.429,0,0,0,0,1417216,4509,2493,0,0,857,1153
1.015,2.03,96.954,0,0,0,0,0,3193,1624,0,0,828,1207
16.667,2.02,80.303,1.01,0,0,0,106496,4339,2387,0,0,1729,2920
3.59,1.026,94.872,0,0,0.513,0,0,392943,77010,0,0,1040,1601
2.525,1.515,95.96,0,0,0,0,0,4361,2408,0,0,976,1306
2.538,1.523,95.939,0,0,0,0,0,8297,5643,0,0,962,1377
4.061,1.015,94.924,0,0,0,0,0,6012,3430,0,0,798,1196
19.095,2.01,77.387,1.005,0,0.503,0,73728,6093,3116,0,0,1619,2658
4.592,2.041,93.367,0,0,0,0,0,447216,86763,0,0,971,1629
2.5,2,95.5,0,0,0,0,0,4169,2281,0,0,793,1194
2.051,0.513,97.436,0,0,0,0,0,4760,2683,0,0,847,1132
2.525,1.01,96.465,0,0,0,0,0,3999,2175,0,0,877,1230
15.736,1.523,81.218,1.015,0,0.508,0,98304,4356,2245,0,0,1547,2347
10.309,1.031,88.66,0,0,0,0,0,377476,75494,0,0,1210,2207
2.01,2.01,95.98,0,0,0,0,0,5396,2900,0,0,761,1067
12.626,1.515,83.838,2.02,0,0,8192,0,5187,2569,8192,0,886,1414
2.551,1.531,87.755,7.653,0,0.51,319488,0,6199,3360,28672,0,1060,1465
15.152,1.515,81.313,1.515,0,0.505,0,98304,9485,6445,0,0,1830,2756
8.673,1.02,90.306,0,0,0,0,0,495294,85421,0,0,1104,1762
3.553,1.015,93.909,1.523,0,0,77824,0,4824,3279,0,0,868,1250
2.051,1.538,96.41,0,0,0,0,65536,3999,2175,0,0,866,1224
2.525,1.515,95.96,0,0,0,0,0,4169,2313,0,0,897,1281
18.557,1.546,79.381,0.515,0,0,0,81920,5859,3010,0,0,1700,2738
5.102,0.51,94.388,0,0,0,0,0,400457,80106,0,0,1014,1539
2.041,1.531,96.429,0,0,0,0,0,5630,3814,0,0,823,1237
2.538,0.508,96.954,0,0,0,0,0,5714,2679,0,0,898,1157
3.03,1.01,95.96,0,0,0,0,0,2666,1450,0,0,848,1121
20.619,2.577,76.289,0,0,0.515,0,73728,5753,2970,0,0,1772,3052
6.061,2.02,91.414,0,0,0.505,0,0,409695,86201,0,0,980,1505
2.041,0.51,97.449,0,0,0,0,0,5332,2900,0,0,843,1162
2.551,1.02,96.429,0,0,0,0,0,3999,2175,0,0,845,1259
2.525,1.515,95.96,0,0,0,0,0,4526,2285,0,0,904,1294
14.433,3.093,81.959,0.515,0,0,0,69632,5332,2900,0,0,1638,2788
5.102,1.02,93.878,0,0,0,0,0,408859,82873,0,0,1021,1454
3.553,0.508,95.939,0,0,0,0,0,5923,3116,0,0,783,1140
2.525,1.515,94.444,1.01,0,0.505,0,1638400,5187,2463,0,0,931,1269
2.03,1.015,96.954,0,0,0,0,0,2666,1450,0,0,785,1115
12.183,2.03,84.772,0.508,0,0.508,0,90112,4590,2349,0,0,1612,2374
6.122,1.531,92.347,0,0,0,0,0,438956,82874,0,0,1014,1745
2.01,1.508,96.482,0,0,0,0,0,2666,1450,0,0,789,1105
2.051,1.026,96.41,0,0,0.513,0,0,4526,2285,0,0,896,1270
2.538,1.015,96.447,0,0,0,0,0,3999,2175,0,0,880,1234
15.152,2.02,81.818,1.01,0,0,0,69632,5689,2970,0,0,1655,2633
46.269,1.493,51.741,0,0,0.498,0,0,374318,76619,0,0,974,1490
1.036,1.036,97.927,0,0,0,0,0,5332,2900,0,0,810,1134
3.046,0.508,96.447,0,0,0,0,0,7783,3913,0,0,861,1223
3.046,0.508,96.447,0,0,0,0,0,5859,3010,0,0,833,1122
14.948,1.031,82.99,0.515,0,0.515,0,69632,3999,2175,0,0,1815,2783
7,2,90.5,0,0,0.5,0,0,484955,97222,0,0,1210,1896
3.518,1.005,95.477,0,0,0,0,0,4526,2285,0,0,824,1209
3.046,0.508,96.447,0,0,0,0,73728,4041,2239,0,0,876,1251
1.031,1.031,97.938,0,0,0,0,0,5332,2900,0,0,876,1233
12.245,3.061,84.184,0.51,0,0,0,94208,4526,2285,0,0,1613,2528
5.051,1.515,93.434,0,0,0,0,0,410283,84146,0,0,1115,1562
2.538,1.015,96.447,0,0,0,0,0,4480,2606,0,0,892,1102
2.03,1.523,96.447,0,0,0,0,0,5714,2573,0,0,910,1189
2.564,0.513,96.923,0,0,0,0,0,6665,3625,0,0,853,1172
13.131,3.535,82.323,0,0,1.01,0,69632,5753,2970,0,0,1657,2489
5.155,1.031,93.814,0,0,0,0,0,470239,85991,0,0,1070,1789
2.5,2,95.5,0,0,0,0,0,4069,2387,0,0,823,1216
3.046,1.015,95.939,0,0,0,0,0,5332,2900,0,0,831,1253
4.124,0,95.876,0,0,0,0,0,4526,2349,0,0,913,1230
18.878,1.02,79.592,0.51,0,0,0,73728,5332,2900,0,0,1551,2288
10.152,1.523,88.325,0,0,0,0,0,427610,90995,0,0,1279,2307
3.03,1.01,95.96,0,0,0,0,0,4526,2285,0,0,840,1149
2.564,0.513,96.923,0,0,0,0,0,6854,4070,0,0,906,1270
3.5,1,95.5,0,0,0,0,0,3999,2175,0,0,750,1105
15.736,1.523,82.234,0,0,0.508,0,73728,5859,3010,0,0,1738,2402
6.091,1.015,92.386,0,0,0.508,0,0,483606,83231,0,0,996,1757
2.03,0.508,97.462,0,0,0,0,0,3999,2175,0,0,892,1218
3.015,1.508,94.975,0,0,0.503,0,1904640,4526,2285,0,0,856,1233
1.538,0.513,97.949,0,0,0,0,0,5332,2900,0,0,878,1200
15.228,3.046,80.711,0.508,0,0.508,0,126976,4356,2245,0,0,1693,2621
4.545,1.01,94.444,0,0,0,0,0,422034,80240,0,0,970,1409
2.525,1.515,95.96,0,0,0,0,0,4063,2281,0,0,804,1084
2.525,1.01,96.465,0,0,0,0,0,5187,2463,0,0,904,1187
2.538,1.015,96.447,0,0,0,0,0,3193,1560,0,0,937,1301
14.925,3.98,80.1,0.995,0,0,0,69632,5396,2900,0,0,1586,2761
10.66,1.523,87.817,0,0,0,0,0,409470,79557,0,0,918,1461
2.041,0.51,97.449,0,0,0,0,0,4526,2391,0,0,884,1252
2.051,1.026,96.41,0,0,0.513,0,65536,5332,2900,0,0,858,1302
2.538,0.508,96.954,0,0,0,0,0,3999,2175,0,0,740,1137
12.887,2.062,84.021,1.031,0,0,0,86016,4526,2285,0,0,1734,2940
5.076,1.015,93.909,0,0,0,0,0,395115,83691,0,0,882,1413
2.03,1.015,96.954,0,0,0,0,0,3999,2175,0,0,814,1111
2.02,2.02,95.96,0,0,0,0,0,5714,2679,0,0,832,1210
2.041,1.02,96.939,0,0,0,0,0,2666,1450,0,0,789,1138
12.69,3.046,83.249,0.508,0,0.508,0,73728,7022,3759,0,0,1733,2700
4.061,1.523,94.416,0,0,0,0,0,411321,78911,0,0,863,1468
2.051,0.513,97.436,0,0,0,0,0,4069,2387,0,0,889,1302
3.553,1.015,95.431,0,0,0,0,0,6665,3731,0,0,842,1229
2.02,1.01,96.97,0,0,0,0,0,5859,3010,0,0,838,1163
11.735,3.061,84.184,0.51,0,0.51,0,69632,3999,2281,0,0,1692,2704
3.553,2.538,93.909,0,0,0,0,0,429387,88187,0,0,999,1503
1.98,3.465,94.059,0,0,0.495,0,0,6221,4004,0,0,864,1152
4.061,0.508,95.431,0,0,0,0,0,6520,3188,0,0,888,1349
3.046,1.015,95.939,0,0,0,0,0,5332,2900,0,0,872,1244
11.282,2.564,84.615,1.026,0,0.513,0,73728,5923,3116,0,0,1654,2526
9.184,1.02,89.796,0,0,0,0,0,609305,99013,0,0,1419,2288
1.531,1.02,97.449,0,0,0,0,0,6665,3625,0,0,847,1247
3.077,0,96.923,0,0,0,0,0,5859,3116,0,0,886,1230
3,1.5,95,0,0,0.5,0,0,6665,3795,0,0,938,1188
18.557,1.546,79.897,0,0,0,0,69632,5689,2970,0,0,1715,2638
10.714,1.02,88.265,0,0,0,0,0,617860,113614,0,0,1471,2332
2.525,1.515,95.96,0,0,0,0,0,6665,3625,0,0,927,1179
3.03,1.515,95.455,0,0,0,0,2240512,5187,2463,0,0,973,1213
3.03,0.505,96.465,0,0,0,0,0,4526,2285,0,0,852,1152
11.055,3.518,83.92,1.005,0,0.503,0,106496,5332,2900,0,0,1817,2662
6.599,2.538,90.863,0,0,0,0,0,537521,96479,0,0,1195,1971
2.5,1.5,96,0,0,0,0,0,4526,2391,0,0,852,1203
1.531,1.531,96.939,0,0,0,0,69632,5332,2900,0,0,907,1106
3.465,1.485,94.554,0,0,0.495,0,0,5332,2900,0,0,813,1183
11.34,2.062,85.567,1.031,0,0,0,110592,5859,3010,0,0,1697,2503
7.576,1.01,91.414,0,0,0,0,0,518346,90506,0,0,1173,1853
2.051,0,97.949,0,0,0,0,0,4480,2542,0,0,910,1133
3.015,2.01,94.975,0,0,0,0,0,7047,3298,0,0,879,1218
2.538,1.015,96.447,0,0,0,0,0,3999,2281,0,0,892,1226
13.065,4.02,81.91,0.503,0,0.503,0,77824,5753,2970,0,0,1848,2885
6.091,1.523,91.878,0,0,0.508,0,0,492140,98912,0,0,1297,1990
2.513,1.508,95.98,0,0,0,0,0,2666,1450,0,0,905,1161
2.051,0.513,97.436,0,0,0,0,0,6665,3731,0,0,911,1165
2.525,1.515,95.96,0,0,0,0,0,5859,3010,0,0,885,1214
11.616,2.02,85.354,0.505,0,0.505,0,73728,5332,2900,0,0,1725,2434
11.168,2.538,86.294,0,0,0,0,0,508724,94798,0,0,1105,1975
2.538,1.015,96.447,0,0,0,0,0,7192,3799,0,0,852,1215
2.03,0.508,97.462,0,0,0,0,0,7853,3913,0,0,808,1197
4.639,0.515,94.845,0,0,0,0,0,5332,3006,0,0,859,1223
16,3,80,0.5,0,0.5,0,69632,5859,3010,0,0,1725,2543
6.25,0.521,92.708,0,0,0.521,0,0,520097,97281,0,0,1226,2097
1.026,1.026,97.949,0,0,0,0,0,5332,2900,0,0,790,1110
3.941,1.478,94.089,0,0,0.493,0,0,5859,3010,0,0,842,1133
2.538,1.015,96.447,0,0,0,0,0,5332,2900,0,0,752,1170
12.308,1.538,86.154,0,0,0,0,69632,5689,2970,0,0,1681,2547
10.101,2.02,87.879,0,0,0,0,0,517497,105748,0,0,1302,2329
3.5,1,95.5,0,0,0,0,0,5396,3006,0,0,874,1110
2.538,1.015,96.447,0,0,0,0,0,5187,2463,0,0,913,1274
